Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
ea9f77782cafc02475a9fa23fcd14ffd	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__unidentified	f__unidentified	g__unidentified	s__unidentified
b12d8c34261394ad047b35114944b171	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
213e3bc5c9439545b23b4a35d19e5604	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Cryptosporiopsis	s__unidentified
6b10991cf06c36444feef15b2623d31e	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Rhytismatales	f__Rhytismataceae	g__Lophodermium	s__Lophodermium_pinastri
a1fde9d82c8c7c4f520430fc066e4862	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	s__Leucosporidium_fragarium
0aa8dba672e9743acbc9af5e2260eba1	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__Phialocephala_sphaeroides
b065209c8d198cb5e11aaa690e921d01	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Galerina	s__Galerina_lubrica
eaa91e973934368cc959b55ebdc1fc3e	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Lycoperdaceae	g__Lycoperdon	s__Lycoperdon_pyriforme
35a8c733761d755e93551c53c2c3843f	k__Fungi						
750e9e986fc84c1afd1847913963fc46	k__Fungi	p__Ascomycota					
8c85cf296559e3be37990eeb6bb1b11b	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Hyphodontia	s__Hyphodontia_pallidula
268e735fd9eb28514219ada57a01ed2f	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae		
129394299c0dfda710154e20d5b099c2	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Piloderma	s__Piloderma_lanatum
3f33073dbdeb65419daa2ef0df685634	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Rhytismatales	f__unidentified	g__unidentified	s__unidentified
9fc79fc68de363aa56bf9e78f44fc574	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales			
c71a2a623178791e17339034c1d07d7b	k__Fungi						
13e0d26e0e0239ea5c6f074badb1022e	k__Fungi	p__Ascomycota					
b87c44eb5c9d012756af8f0094377ead	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Cryptosporiopsis	s__unidentified
fd413a63c29df719d0da200ade22bf17	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unidentified	s__unidentified
767fd51486bcfabce0c84a554d9269e9	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Davidhawksworthia	s__unidentified
d15e319efa88d4e2e428d7bc4d10ffe4	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Trapeliales	f__Trapeliaceae	g__Placynthiella	s__Placynthiella_dasaea
cf4fdbc248a28e327acc220ebd240b99	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Chalara	s__Chalara_piceae-abietis
